"TypeNamespacePrefix","TypeName","QualifiedType","PropertyNamespacePrefix","PropertyName","QualifiedProperty","MinOccurs","MaxOccurs","Definition"
"ag","AgricultureProductionPlanType","ag:AgricultureProductionPlanType","ag","PlantedDateModifiedOtherReasonText","ag:PlantedDateModifiedOtherReasonText","0","1",""
"ag","AgricultureProductionPlanType","ag:AgricultureProductionPlanType","ag","ProductPlantingCode","ag:ProductPlantingCode","0","1",""
"ag","AgricultureProductionPlanType","ag:AgricultureProductionPlanType","ag","IrrigationPracticeCode","ag:IrrigationPracticeCode","1","1",""
"ag","AgricultureProductionPlanType","ag:AgricultureProductionPlanType","ag","OrganicPracticeCategoryCode","ag:OrganicPracticeCategoryCode","1","1",""
"ag","AgricultureProductionPlanType","ag:AgricultureProductionPlanType","ag","CroppingPracticeCode","ag:CroppingPracticeCode","1","1",""
"ag","AgricultureProductionPlanType","ag:AgricultureProductionPlanType","ag","GeospatialSourceInfo","ag:GeospatialSourceInfo","0","1",""
"ag","AgricultureProductionPlanType","ag:AgricultureProductionPlanType","ag","ProducerShare","ag:ProducerShare","1","unbounded",""
"ag","AgricultureProductionPlanType","ag:AgricultureProductionPlanType","ag","AgricultureProductionPlanAugmentationPoint","ag:AgricultureProductionPlanAugmentationPoint","0","unbounded",""
"ag","CustomerInfoType","ag:CustomerInfoType","ag","FileCustomerID","ag:FileCustomerID","1","unbounded",""
"ag","CustomerInfoType","ag:CustomerInfoType","ag","CustomerInterAgencyIdentificationID","ag:CustomerInterAgencyIdentificationID","0","unbounded",""
"ag","CustomerInfoType","ag:CustomerInfoType","ag","TaxIdentificationID","ag:TaxIdentificationID","0","unbounded",""
"ag","CustomerInfoType","ag:CustomerInfoType","ag","TaxIdentificationCategoryCode","ag:TaxIdentificationCategoryCode","0","unbounded",""
"ag","CustomerInfoType","ag:CustomerInfoType","nc","OrganizationName","nc:OrganizationName","0","unbounded",""
"ag","CustomerInfoType","ag:CustomerInfoType","nc","PersonGivenName","nc:PersonGivenName","0","unbounded",""
"ag","CustomerInfoType","ag:CustomerInfoType","nc","PersonSurName","nc:PersonSurName","0","unbounded",""
"ag","CustomerInfoType","ag:CustomerInfoType","nc","PersonMiddleName","nc:PersonMiddleName","0","unbounded",""
"ag","CustomerInfoType","ag:CustomerInfoType","nc","PersonNameSuffixText","nc:PersonNameSuffixText","0","unbounded",""
"ag","CustomerInfoType","ag:CustomerInfoType","ag","CustomerInfoAugmentationPoint","ag:CustomerInfoAugmentationPoint","0","unbounded",""
"ag","FarmCropAcreageType","ag:FarmCropAcreageType","ag","AdministrativeStateFSACode","ag:AdministrativeStateFSACode","1","1",""
"ag","FarmCropAcreageType","ag:FarmCropAcreageType","ag","AdministrativeCountyFSACode","ag:AdministrativeCountyFSACode","1","1",""
"ag","FarmCropAcreageType","ag:FarmCropAcreageType","ag","FarmNumberID","ag:FarmNumberID","1","1",""
"ag","FarmCropAcreageType","ag:FarmCropAcreageType","ag","TractCropAcreage","ag:TractCropAcreage","1","unbounded",""
"ag","FarmCropAcreageType","ag:FarmCropAcreageType","ag","FarmCropAcreageAugmentationPoint","ag:FarmCropAcreageAugmentationPoint","0","unbounded",""
"ag","FieldCropAcreageType","ag:FieldCropAcreageType","ag","CLUID","ag:CLUID","1","1",""
"ag","FieldCropAcreageType","ag:FieldCropAcreageType","ag","FieldNumberID","ag:FieldNumberID","1","1",""
"ag","FieldCropAcreageType","ag:FieldCropAcreageType","ag","CLUProducerReviewRequestIndicator","ag:CLUProducerReviewRequestIndicator","1","1",""
"ag","FieldCropAcreageType","ag:FieldCropAcreageType","ag","AgricultureProductionPlan","ag:AgricultureProductionPlan","1","unbounded",""
"ag","FieldCropAcreageType","ag:FieldCropAcreageType","ag","FieldCropAcreageAugmentationPoint","ag:FieldCropAcreageAugmentationPoint","0","unbounded",""
"ag","GeospatialSourceInfoType","ag:GeospatialSourceInfoType","ag","GeospatialShapeSourceCode","ag:GeospatialShapeSourceCode","1","1",""
"ag","GeospatialSourceInfoType","ag:GeospatialSourceInfoType","ag","GeospatialShapeModifiedIndicator","ag:GeospatialShapeModifiedIndicator","1","1",""
"ag","GeospatialSourceInfoType","ag:GeospatialSourceInfoType","ag","GeospatialShapeModifiedReasonCode","ag:GeospatialShapeModifiedReasonCode","0","1",""
"ag","GeospatialSourceInfoType","ag:GeospatialSourceInfoType","ag","GeospatialShapeModifiedOtherReasonText","ag:GeospatialShapeModifiedOtherReasonText","0","1",""
"ag","GeospatialSourceInfoType","ag:GeospatialSourceInfoType","ag","GeospatialShapeProcessDate","ag:GeospatialShapeProcessDate","1","1",""
"ag","GeospatialSourceInfoType","ag:GeospatialSourceInfoType","ag","GeospatialDataSubmissionMethodCode","ag:GeospatialDataSubmissionMethodCode","1","1",""
"ag","GeospatialSourceInfoType","ag:GeospatialSourceInfoType","ag","MICSCode","ag:MICSCode","1","1",""
"ag","GeospatialSourceInfoType","ag:GeospatialSourceInfoType","ag","MICSName","ag:MICSName","0","1",""
"ag","GeospatialSourceInfoType","ag:GeospatialSourceInfoType","ag","GeospatialSourceDataCreationDateTime","ag:GeospatialSourceDataCreationDateTime","1","1",""
"ag","GeospatialSourceInfoType","ag:GeospatialSourceInfoType","ag","PrecisionAgriculturalSubMeterAccuracyIndicator","ag:PrecisionAgriculturalSubMeterAccuracyIndicator","1","1",""
"ag","GeospatialSourceInfoType","ag:GeospatialSourceInfoType","ag","LocationCoordinatesAbstract","ag:LocationCoordinatesAbstract","0","1",""
"ag","GeospatialSourceInfoType","ag:GeospatialSourceInfoType","ag","GeospatialSourceInfoAugmentationPoint","ag:GeospatialSourceInfoAugmentationPoint","0","unbounded",""
"ag","ProducerShareType","ag:ProducerShareType","ag","FileCustomerID","ag:FileCustomerID","1","1",""
"ag","ProducerShareType","ag:ProducerShareType","ag","ProducerSharePercent","ag:ProducerSharePercent","1","unbounded",""
"ag","ProducerShareType","ag:ProducerShareType","ag","ProducerShareAugmentationPoint","ag:ProducerShareAugmentationPoint","0","unbounded",""
"ag","TractCropAcreageType","ag:TractCropAcreageType","ag","TractNumberID","ag:TractNumberID","1","1",""
"ag","TractCropAcreageType","ag:TractCropAcreageType","ag","FieldCropAcreage","ag:FieldCropAcreage","1","unbounded",""
"ag","TractCropAcreageType","ag:TractCropAcreageType","ag","TractCropAcreageAugmentationPoint","ag:TractCropAcreageAugmentationPoint","0","unbounded",""
"biom","AcquisitionLightingSpectrumType","biom:AcquisitionLightingSpectrumType","biom","AcquisitionLightingSpectrumCode","biom:AcquisitionLightingSpectrumCode","0","unbounded",""
"biom","AcquisitionLightingSpectrumType","biom:AcquisitionLightingSpectrumType","biom","AcquisitionLightingSpectrumLowerMeasure","biom:AcquisitionLightingSpectrumLowerMeasure","0","unbounded",""
"biom","AcquisitionLightingSpectrumType","biom:AcquisitionLightingSpectrumType","biom","AcquisitionLightingSpectrumUpperMeasure","biom:AcquisitionLightingSpectrumUpperMeasure","0","unbounded",""
"biom","AcquisitionLightingSpectrumType","biom:AcquisitionLightingSpectrumType","biom","AcquisitionLightingSpectrumAugmentationPoint","biom:AcquisitionLightingSpectrumAugmentationPoint","0","unbounded",""
"biom","AssociatedContextType","biom:AssociatedContextType","biom","ContextID","biom:ContextID","0","unbounded",""
"biom","AssociatedContextType","biom:AssociatedContextType","biom","ImageSegmentID","biom:ImageSegmentID","0","unbounded",""
"biom","AssociatedContextType","biom:AssociatedContextType","biom","AssociatedContextAugmentationPoint","biom:AssociatedContextAugmentationPoint","0","unbounded",""
"biom","AssuranceLogEntryType","biom:AssuranceLogEntryType","biom","AssuranceLogEventCode","biom:AssuranceLogEventCode","0","unbounded",""
"biom","AssuranceLogEntryType","biom:AssuranceLogEntryType","biom","AssuranceLogEventReasonText","biom:AssuranceLogEventReasonText","0","unbounded",""
"biom","AssuranceLogEntryType","biom:AssuranceLogEntryType","biom","AssuranceLogEventLocationText","biom:AssuranceLogEventLocationText","0","unbounded",""
"biom","AssuranceLogEntryType","biom:AssuranceLogEntryType","biom","AssuranceLogAgentText","biom:AssuranceLogAgentText","0","unbounded",""
"biom","AssuranceLogEntryType","biom:AssuranceLogEntryType","biom","AssuranceLogEventOriginalValueText","biom:AssuranceLogEventOriginalValueText","0","unbounded",""
"biom","AssuranceLogEntryType","biom:AssuranceLogEntryType","biom","AssuranceLogEntryAugmentationPoint","biom:AssuranceLogEntryAugmentationPoint","0","unbounded",""
"biom","AudioInformationType","biom:AudioInformationType","biom","ProcessingIndicatorCode","biom:ProcessingIndicatorCode","0","unbounded",""
"biom","AudioInformationType","biom:AudioInformationType","biom","ProcessingAuthorityText","biom:ProcessingAuthorityText","0","unbounded",""
"biom","AudioInformationType","biom:AudioInformationType","biom","ProcessingCommentText","biom:ProcessingCommentText","0","unbounded",""
"biom","AudioInformationType","biom:AudioInformationType","biom","AudioInformationAugmentationPoint","biom:AudioInformationAugmentationPoint","0","unbounded",""
"biom","AudioSourceRecorderType","biom:AudioSourceRecorderType","biom","DeviceDescriptionText","biom:DeviceDescriptionText","0","unbounded",""
"biom","AudioSourceRecorderType","biom:AudioSourceRecorderType","biom","DeviceMakeText","biom:DeviceMakeText","0","unbounded",""
"biom","AudioSourceRecorderType","biom:AudioSourceRecorderType","biom","DeviceModelText","biom:DeviceModelText","0","unbounded",""
"biom","AudioSourceRecorderType","biom:AudioSourceRecorderType","biom","DeviceSerialNumberText","biom:DeviceSerialNumberText","0","unbounded",""
"biom","AudioSourceRecorderType","biom:AudioSourceRecorderType","biom","AudioSourceRecorderAugmentationPoint","biom:AudioSourceRecorderAugmentationPoint","0","unbounded",""
"biom","BiometricCaptureMetricType","biom:BiometricCaptureMetricType","biom","MetricCodeText","biom:MetricCodeText","0","unbounded",""
"biom","BiometricCaptureMetricType","biom:BiometricCaptureMetricType","biom","MetricValue","biom:MetricValue","0","unbounded",""
"biom","BiometricCaptureMetricType","biom:BiometricCaptureMetricType","biom","VendorName","biom:VendorName","0","unbounded",""
"biom","BiometricCaptureMetricType","biom:BiometricCaptureMetricType","biom","BiometricCaptureMetricAugmentationPoint","biom:BiometricCaptureMetricAugmentationPoint","0","unbounded",""
"biom","BiometricCaptureType","biom:BiometricCaptureType","biom","CaptureIdentification","biom:CaptureIdentification","0","unbounded",""
"biom","BiometricCaptureType","biom:BiometricCaptureType","biom","GeographicSampleAcquisitionLocation","biom:GeographicSampleAcquisitionLocation","0","unbounded",""
"biom","BiometricCaptureType","biom:BiometricCaptureType","biom","CaptureUTCDateTime","biom:CaptureUTCDateTime","0","unbounded",""
"biom","BiometricCaptureType","biom:BiometricCaptureType","biom","CaptureDate","biom:CaptureDate","0","unbounded",""
"biom","BiometricCaptureType","biom:BiometricCaptureType","biom","CaptureDateEstimateRangeDuration","biom:CaptureDateEstimateRangeDuration","0","unbounded",""
"biom","BiometricCaptureType","biom:BiometricCaptureType","biom","CaptureDevice","biom:CaptureDevice","0","unbounded",""
"biom","BiometricCaptureType","biom:BiometricCaptureType","biom","BiometricCaptureDescriptionText","biom:BiometricCaptureDescriptionText","0","unbounded",""
"biom","BiometricCaptureType","biom:BiometricCaptureType","biom","BiometricCaptureDuration","biom:BiometricCaptureDuration","0","unbounded",""
"biom","BiometricCaptureType","biom:BiometricCaptureType","biom","BiometricCaptureSource","biom:BiometricCaptureSource","0","unbounded",""
"biom","BiometricCaptureType","biom:BiometricCaptureType","biom","CaptureOrganization","biom:CaptureOrganization","0","unbounded",""
"biom","BiometricCaptureType","biom:BiometricCaptureType","biom","BiometricCaptureMetric","biom:BiometricCaptureMetric","0","unbounded",""
"biom","BiometricCaptureType","biom:BiometricCaptureType","biom","BiometricCaptureAugmentationPoint","biom:BiometricCaptureAugmentationPoint","0","unbounded",""
"biom","BiometricClassificationType","biom:BiometricClassificationType","biom","BiometricClassificationCategoryCode","biom:BiometricClassificationCategoryCode","0","unbounded",""
"biom","BiometricClassificationType","biom:BiometricClassificationType","biom","BiometricClassificationCategoryDescriptionText","biom:BiometricClassificationCategoryDescriptionText","0","unbounded",""
"biom","BiometricClassificationType","biom:BiometricClassificationType","biom","BiometricClassificationAugmentationPoint","biom:BiometricClassificationAugmentationPoint","0","unbounded",""
"biom","BiometricCoordinateType","biom:BiometricCoordinateType","biom","CoordinateCategoryText","biom:CoordinateCategoryText","0","unbounded",""
"biom","BiometricCoordinateType","biom:BiometricCoordinateType","biom","CoordinateCategoryDescriptionText","biom:CoordinateCategoryDescriptionText","0","unbounded",""
"biom","BiometricCoordinateType","biom:BiometricCoordinateType","biom","BiometricCoordinateIdentification","biom:BiometricCoordinateIdentification","0","unbounded",""
"biom","BiometricCoordinateType","biom:BiometricCoordinateType","biom","LeftIsQuantity","biom:LeftIsQuantity","0","unbounded",""
"biom","BiometricCoordinateType","biom:BiometricCoordinateType","biom","TopIsQuantity","biom:TopIsQuantity","0","unbounded",""
"biom","BiometricCoordinateType","biom:BiometricCoordinateType","biom","RightIsQuantity","biom:RightIsQuantity","0","unbounded",""
"biom","BiometricCoordinateType","biom:BiometricCoordinateType","biom","BottomIsQuantity","biom:BottomIsQuantity","0","unbounded",""
"biom","BiometricCoordinateType","biom:BiometricCoordinateType","biom","QualityValue","biom:QualityValue","0","unbounded",""
"biom","BiometricCoordinateType","biom:BiometricCoordinateType","biom","BiometricCoordinateAugmentationPoint","biom:BiometricCoordinateAugmentationPoint","0","unbounded",""
"biom","BiometricDataType","biom:BiometricDataType","biom","BiometricID","biom:BiometricID","0","unbounded",""
"biom","BiometricDataType","biom:BiometricDataType","biom","ANSIRecordCategoryCode","biom:ANSIRecordCategoryCode","0","unbounded",""
"biom","BiometricDataType","biom:BiometricDataType","biom","BiometricClassification","biom:BiometricClassification","0","unbounded",""
"biom","BiometricDataType","biom:BiometricDataType","biom","BiometricDetailAbstract","biom:BiometricDetailAbstract","0","unbounded",""
"biom","BiometricDataType","biom:BiometricDataType","biom","BiometricImageAbstract","biom:BiometricImageAbstract","0","unbounded",""
"biom","BiometricDataType","biom:BiometricDataType","biom","BiometricCapture","biom:BiometricCapture","0","unbounded",""
"biom","BiometricDataType","biom:BiometricDataType","biom","BiometricEncodingMethodText","biom:BiometricEncodingMethodText","0","unbounded",""
"biom","BiometricDataType","biom:BiometricDataType","biom","BiometricDescriptionText","biom:BiometricDescriptionText","0","unbounded",""
"biom","BiometricDataType","biom:BiometricDataType","biom","BiometricStatus","biom:BiometricStatus","0","unbounded",""
"biom","BiometricDataType","biom:BiometricDataType","biom","BiometricBinary","biom:BiometricBinary","0","unbounded",""
"biom","BiometricDataType","biom:BiometricDataType","biom","BiometricLabAnalysisText","biom:BiometricLabAnalysisText","0","unbounded",""
"biom","BiometricDataType","biom:BiometricDataType","biom","BiometricCapturer","biom:BiometricCapturer","0","unbounded",""
"biom","BiometricDataType","biom:BiometricDataType","biom","BiometricTester","biom:BiometricTester","0","unbounded",""
"biom","BiometricDataType","biom:BiometricDataType","biom","BiometricTestMethodText","biom:BiometricTestMethodText","0","unbounded",""
"biom","BiometricDataType","biom:BiometricDataType","biom","BiometricTestDate","biom:BiometricTestDate","0","unbounded",""
"biom","BiometricDataType","biom:BiometricDataType","biom","BiometricTestDescriptionText","biom:BiometricTestDescriptionText","0","unbounded",""
"biom","BiometricDataType","biom:BiometricDataType","biom","BiometricRepositoryOrganization","biom:BiometricRepositoryOrganization","0","unbounded",""
"biom","BiometricDataType","biom:BiometricDataType","biom","BiometricRepositoryDescriptionText","biom:BiometricRepositoryDescriptionText","0","unbounded",""
"biom","BiometricDataType","biom:BiometricDataType","biom","BiometricAccuracyDescriptionText","biom:BiometricAccuracyDescriptionText","0","unbounded",""
"biom","BiometricDataType","biom:BiometricDataType","biom","QualityThresholdText","biom:QualityThresholdText","0","unbounded",""
"biom","BiometricDataType","biom:BiometricDataType","biom","BiometricValueText","biom:BiometricValueText","0","unbounded",""
"biom","BiometricDataType","biom:BiometricDataType","biom","QualityConfidenceLevelText","biom:QualityConfidenceLevelText","0","unbounded",""
"biom","BiometricDataType","biom:BiometricDataType","biom","BiometricDataAugmentationPoint","biom:BiometricDataAugmentationPoint","0","unbounded",""
"biom","CBEFFImageType","biom:CBEFFImageType","biom","CBEFFFormatOwnerID","biom:CBEFFFormatOwnerID","0","unbounded",""
"biom","CBEFFImageType","biom:CBEFFImageType","biom","CBEFFFormatCategoryID","biom:CBEFFFormatCategoryID","0","unbounded",""
"biom","CBEFFImageType","biom:CBEFFImageType","biom","CBEFFVersionID","biom:CBEFFVersionID","0","unbounded",""
"biom","CBEFFImageType","biom:CBEFFImageType","biom","CBEFFCategoryCode","biom:CBEFFCategoryCode","0","unbounded",""
"biom","CBEFFImageType","biom:CBEFFImageType","biom","ResolutionMethodInformation","biom:ResolutionMethodInformation","0","unbounded",""
"biom","CBEFFImageType","biom:CBEFFImageType","biom","CBEFFImageAugmentationPoint","biom:CBEFFImageAugmentationPoint","0","unbounded",""
"biom","CheiloscopicImageInformationType","biom:CheiloscopicImageInformationType","biom","LipPrintWidthValue","biom:LipPrintWidthValue","0","unbounded",""
"biom","CheiloscopicImageInformationType","biom:CheiloscopicImageInformationType","biom","LipPrintHeightValue","biom:LipPrintHeightValue","0","unbounded",""
"biom","CheiloscopicImageInformationType","biom:CheiloscopicImageInformationType","biom","PhiltrumWidthValue","biom:PhiltrumWidthValue","0","unbounded",""
"biom","CheiloscopicImageInformationType","biom:CheiloscopicImageInformationType","biom","PhiltrumHeightValue","biom:PhiltrumHeightValue","0","unbounded",""
"biom","CheiloscopicImageInformationType","biom:CheiloscopicImageInformationType","biom","UpperLipCharacterizationCodeList","biom:UpperLipCharacterizationCodeList","0","unbounded",""
"biom","CheiloscopicImageInformationType","biom:CheiloscopicImageInformationType","biom","LowerLipCharacterizationCodeList","biom:LowerLipCharacterizationCodeList","0","unbounded",""
"biom","CheiloscopicImageInformationType","biom:CheiloscopicImageInformationType","biom","LipContactLineDescriptorCode","biom:LipContactLineDescriptorCode","0","unbounded",""
"biom","CheiloscopicImageInformationType","biom:CheiloscopicImageInformationType","biom","LipPrintCharacterizationText","biom:LipPrintCharacterizationText","0","unbounded",""
"biom","CheiloscopicImageInformationType","biom:CheiloscopicImageInformationType","biom","LipPrintPathologiesPeculiaritiesCodeList","biom:LipPrintPathologiesPeculiaritiesCodeList","0","unbounded",""
"biom","CheiloscopicImageInformationType","biom:CheiloscopicImageInformationType","biom","LipPrintPathologiesPeculiaritiesText","biom:LipPrintPathologiesPeculiaritiesText","0","unbounded",""
"biom","CheiloscopicImageInformationType","biom:CheiloscopicImageInformationType","biom","LipPrintSurfaceCodeList","biom:LipPrintSurfaceCodeList","0","unbounded",""
"biom","CheiloscopicImageInformationType","biom:CheiloscopicImageInformationType","biom","LipPrintSurfaceText","biom:LipPrintSurfaceText","0","unbounded",""
"biom","CheiloscopicImageInformationType","biom:CheiloscopicImageInformationType","biom","LipPrintMediumCode","biom:LipPrintMediumCode","0","unbounded",""
"biom","CheiloscopicImageInformationType","biom:CheiloscopicImageInformationType","biom","LipPrintMediumText","biom:LipPrintMediumText","0","unbounded",""
"biom","CheiloscopicImageInformationType","biom:CheiloscopicImageInformationType","nc","PersonFacialHairText","nc:PersonFacialHairText","0","unbounded",""
"biom","CheiloscopicImageInformationType","biom:CheiloscopicImageInformationType","biom","LipPositionTensionDescriptiveText","biom:LipPositionTensionDescriptiveText","0","unbounded",""
"biom","CheiloscopicImageInformationType","biom:CheiloscopicImageInformationType","biom","LipPrintDescriptiveText","biom:LipPrintDescriptiveText","0","unbounded",""
"biom","CheiloscopicImageInformationType","biom:CheiloscopicImageInformationType","biom","LipPrintComparisonDescriptiveText","biom:LipPrintComparisonDescriptiveText","0","unbounded",""
"biom","CheiloscopicImageInformationType","biom:CheiloscopicImageInformationType","biom","CheiloscopicImageInformationAugmentationPoint","biom:CheiloscopicImageInformationAugmentationPoint","0","unbounded",""
"biom","CodecDetailsType","biom:CodecDetailsType","biom","CodecCategoryCode","biom:CodecCategoryCode","0","unbounded",""
"biom","CodecDetailsType","biom:CodecDetailsType","biom","SamplingRate","biom:SamplingRate","0","unbounded",""
"biom","CodecDetailsType","biom:CodecDetailsType","biom","RecordingBitDepthValue","biom:RecordingBitDepthValue","0","unbounded",""
"biom","CodecDetailsType","biom:CodecDetailsType","biom","RecordingEndianCode","biom:RecordingEndianCode","0","unbounded",""
"biom","CodecDetailsType","biom:CodecDetailsType","biom","NumericFormatText","biom:NumericFormatText","0","unbounded",""
"biom","CodecDetailsType","biom:CodecDetailsType","biom","RecordingChannelsQuantity","biom:RecordingChannelsQuantity","0","unbounded",""
"biom","CodecDetailsType","biom:CodecDetailsType","biom","CodecExternalReferenceCodeText","biom:CodecExternalReferenceCodeText","0","unbounded",""
"biom","CodecDetailsType","biom:CodecDetailsType","biom","CodecCommentText","biom:CodecCommentText","0","unbounded",""
"biom","CodecDetailsType","biom:CodecDetailsType","biom","CodecDetailsAugmentationPoint","biom:CodecDetailsAugmentationPoint","0","unbounded",""
"biom","ContentDiaryInformationType","biom:ContentDiaryInformationType","biom","TagStartDateTime","biom:TagStartDateTime","0","unbounded",""
"biom","ContentDiaryInformationType","biom:ContentDiaryInformationType","biom","TagEndDateTime","biom:TagEndDateTime","0","unbounded",""
"biom","ContentDiaryInformationType","biom:ContentDiaryInformationType","biom","OriginalRecordingDate","biom:OriginalRecordingDate","0","unbounded",""
"biom","ContentDiaryInformationType","biom:ContentDiaryInformationType","biom","SegmentRecordingStartDateTime","biom:SegmentRecordingStartDateTime","0","unbounded",""
"biom","ContentDiaryInformationType","biom:ContentDiaryInformationType","biom","SegmentRecordingEndDateTime","biom:SegmentRecordingEndDateTime","0","unbounded",""
"biom","ContentDiaryInformationType","biom:ContentDiaryInformationType","biom","TimeSourceDescriptionText","biom:TimeSourceDescriptionText","0","unbounded",""
"biom","ContentDiaryInformationType","biom:ContentDiaryInformationType","biom","TimeCommentText","biom:TimeCommentText","0","unbounded",""
"biom","ContentDiaryInformationType","biom:ContentDiaryInformationType","biom","ContentDiaryInformationAugmentationPoint","biom:ContentDiaryInformationAugmentationPoint","0","unbounded",""
"biom","ContentInformationType","biom:ContentInformationType","biom","DiarizationIndicatorCode","biom:DiarizationIndicatorCode","0","unbounded",""
"biom","ContentInformationType","biom:ContentInformationType","biom","ProcessingAuthorityText","biom:ProcessingAuthorityText","0","unbounded",""
"biom","ContentInformationType","biom:ContentInformationType","biom","ProcessingCommentText","biom:ProcessingCommentText","0","unbounded",""
"biom","ContentInformationType","biom:ContentInformationType","biom","ContentInformationAugmentationPoint","biom:ContentInformationAugmentationPoint","0","unbounded",""
"biom","ContentRecordSummaryType","biom:ContentRecordSummaryType","biom","ImageReferenceIdentification","biom:ImageReferenceIdentification","0","unbounded",
"biom","ContentRecordSummaryType","biom:ContentRecordSummaryType","biom","ImageReferenceID","biom:ImageReferenceID","0","unbounded",""
"biom","ContentRecordSummaryType","biom:ContentRecordSummaryType","biom","ANSIRecordCategoryCode","biom:ANSIRecordCategoryCode","0","unbounded",""
"biom","ContentRecordSummaryType","biom:ContentRecordSummaryType","biom","ContentRecordSummaryAugmentationPoint","biom:ContentRecordSummaryAugmentationPoint","0","unbounded",""
"biom","ContextFileFormatType","biom:ContextFileFormatType","biom","ContextFileCategoryText","biom:ContextFileCategoryText","0","unbounded",""
"biom","ContextFileFormatType","biom:ContextFileFormatType","biom","ContextFileDecodingInstructionsText","biom:ContextFileDecodingInstructionsText","0","unbounded",""
"biom","ContextFileFormatType","biom:ContextFileFormatType","biom","ContextFileFormatAugmentationPoint","biom:ContextFileFormatAugmentationPoint","0","unbounded",""
"biom","ContextMediaDetailType","biom:ContextMediaDetailType","biom","BiometricCapture","biom:BiometricCapture","0","unbounded",""
"biom","ContextMediaDetailType","biom:ContextMediaDetailType","biom","ImageSegment","biom:ImageSegment","0","unbounded",""
"biom","ContextMediaDetailType","biom:ContextMediaDetailType","biom","TimeSegment","biom:TimeSegment","0","unbounded",""
"biom","ContextMediaDetailType","biom:ContextMediaDetailType","biom","MedicalDevice","biom:MedicalDevice","0","unbounded",""
"biom","ContextMediaDetailType","biom:ContextMediaDetailType","biom","SubjectExistentialDetails","biom:SubjectExistentialDetails","0","unbounded",""
"biom","ContextMediaDetailType","biom:ContextMediaDetailType","biom","ContextMediaDetailAugmentationPoint","biom:ContextMediaDetailAugmentationPoint","0","unbounded",""
"biom","DentalEncodingSystemInformationType","biom:DentalEncodingSystemInformationType","biom","SystemNameCode","biom:SystemNameCode","0","unbounded",""
"biom","DentalEncodingSystemInformationType","biom:DentalEncodingSystemInformationType","biom","SystemVersionText","biom:SystemVersionText","0","unbounded",""
