"TypeNamespacePrefix","TypeName","QualifiedType","ContentStyle","SimpleStyle","IsMetadata","IsAdapter","IsAugmentation","Keywords","ExampleContent","UsageInfo","Definition","SimpleTypeNamespacePrefix","SimpleTypeName","SimpleQualifiedType","ParentTypeNamespacePrefix","ParentTypeName","ParentQualifiedType"
"aamva_d20","CourtCategoryCodeType","aamva_d20:CourtCategoryCodeType","CSC",,0,0,0,"","","","A data type for kinds of courts.","aamva_d20","CourtCategoryCodeSimpleType","aamva_d20:CourtCategoryCodeSimpleType","","",""
"aamva_d20","DecalPeriodCodeSimpleType","aamva_d20:DecalPeriodCodeSimpleType","S","atomic",0,0,0,"","","","A data type for the lifespan of a decal.","xs","token","xs:token","","",""
"aamva_d20","DecalPeriodCodeType","aamva_d20:DecalPeriodCodeType","CSC",,0,0,0,"","","","A data type for the lifespan of a decal.","aamva_d20","DecalPeriodCodeSimpleType","aamva_d20:DecalPeriodCodeSimpleType","","",""
"aamva_d20","DriverLicenseClassCodeSimpleType","aamva_d20:DriverLicenseClassCodeSimpleType","S","atomic",0,0,0,"","","","A data type for kinds of vehicles that a licensed driver may be approved to operate.","xs","token","xs:token","","",""
"aamva_d20","DriverLicenseClassCodeType","aamva_d20:DriverLicenseClassCodeType","CSC",,0,0,0,"","","","A data type for kinds of vehicles that a licensed driver may be approved to operate.","aamva_d20","DriverLicenseClassCodeSimpleType","aamva_d20:DriverLicenseClassCodeSimpleType","","",""
"aamva_d20","DriverLicenseMedicalCertificationRestrictionCodeSimpleType","aamva_d20:DriverLicenseMedicalCertificationRestrictionCodeSimpleType","S","atomic",0,0,0,"","","","A data type for a restriction imposed on a commercial driver by a medical examiner.","xs","token","xs:token","","",""
"aamva_d20","DriverLicenseMedicalCertificationRestrictionCodeType","aamva_d20:DriverLicenseMedicalCertificationRestrictionCodeType","CSC","atomic",0,0,0,"","","","A data type for a restriction imposed on a commercial driver by a medical examiner.","aamva_d20","DriverLicenseMedicalCertificationRestrictionCodeSimpleType","aamva_d20:DriverLicenseMedicalCertificationRestrictionCodeSimpleType","","",""
"aamva_d20","DriverLicenseMedicalCertificationStatusCodeSimpleType","aamva_d20:DriverLicenseMedicalCertificationStatusCodeSimpleType","S","atomic",0,0,0,"","","","A data type for an indication of the status of a driver's medical certification.","xs","token","xs:token","","",""
"aamva_d20","DriverLicenseMedicalCertificationStatusCodeType","aamva_d20:DriverLicenseMedicalCertificationStatusCodeType","CSC","atomic",0,0,0,"","","","A data type for an indication of the status of a driver's medical certification.","aamva_d20","DriverLicenseMedicalCertificationStatusCodeSimpleType","aamva_d20:DriverLicenseMedicalCertificationStatusCodeSimpleType","","",""
"aamva_d20","DriverLicenseMedicalSelfCertificationCodeSimpleType","aamva_d20:DriverLicenseMedicalSelfCertificationCodeSimpleType","S","atomic",0,0,0,"","","","A data type for a driver's self certification of the commercial driver's status regarding 49 CFR 390.3 and the type of driving.","xs","token","xs:token","","",""
"aamva_d20","DriverLicenseMedicalSelfCertificationCodeType","aamva_d20:DriverLicenseMedicalSelfCertificationCodeType","CSC","",0,0,0,"","","","A data type for a driver's self certification of the commercial driver's status regarding 49 CFR 390.3 and the type of driving.","aamva_d20","DriverLicenseMedicalSelfCertificationCodeSimpleType","aamva_d20:DriverLicenseMedicalSelfCertificationCodeSimpleType","","",""
"aamva_d20","DriverLicensePermitEndorsementCodeSimpleType","aamva_d20:DriverLicensePermitEndorsementCodeSimpleType","S","atomic",0,0,0,"","","","A data type for endorsements on a driver license permit which authorizes the operation of specified kinds of vehicles carrying specified loads.","xs","token","xs:token","","",""
"aamva_d20","DriverLicensePermitEndorsementCodeType","aamva_d20:DriverLicensePermitEndorsementCodeType","CSC","atomic",0,0,0,"","","","A data type for endorsements on a driver license permit which authorizes the operation of specified kinds of vehicles carrying specified loads.","aamva_d20","DriverLicensePermitEndorsementCodeSimpleType","aamva_d20:DriverLicensePermitEndorsementCodeSimpleType","","",""
"aamva_d20","DriverLicenseWithdrawalActionCodeSimpleType","aamva_d20:DriverLicenseWithdrawalActionCodeSimpleType","S","atomic",0,0,0,"","","","A data type for kinds of driver license withdrawal actions.","xs","token","xs:token","","",""
"aamva_d20","DriverLicenseWithdrawalActionCodeType","aamva_d20:DriverLicenseWithdrawalActionCodeType","CSC",,0,0,0,"","","","A data type for kinds of driver license withdrawal actions.","aamva_d20","DriverLicenseWithdrawalActionCodeSimpleType","aamva_d20:DriverLicenseWithdrawalActionCodeSimpleType","","",""
"aamva_d20","DriverLicenseWithdrawalBasisCodeSimpleType","aamva_d20:DriverLicenseWithdrawalBasisCodeSimpleType","S","atomic",0,0,0,"","","","A data type for bases for withdrawal action for a driver.","xs","token","xs:token","","",""
"aamva_d20","DriverLicenseWithdrawalBasisCodeType","aamva_d20:DriverLicenseWithdrawalBasisCodeType","CSC",,0,0,0,"","","","A data type for bases for withdrawal action for a driver.","aamva_d20","DriverLicenseWithdrawalBasisCodeSimpleType","aamva_d20:DriverLicenseWithdrawalBasisCodeSimpleType","","",""
"aamva_d20","DriverLicenseWithdrawalDueProcessStatusCodeSimpleType","aamva_d20:DriverLicenseWithdrawalDueProcessStatusCodeSimpleType","S","atomic",0,0,0,"","","","A data type for due process statuses of a withdrawal action.","xs","token","xs:token","","",""
"aamva_d20","DriverLicenseWithdrawalDueProcessStatusCodeType","aamva_d20:DriverLicenseWithdrawalDueProcessStatusCodeType","CSC",,0,0,0,"","","","A data type for due process statuses of a withdrawal action.","aamva_d20","DriverLicenseWithdrawalDueProcessStatusCodeSimpleType","aamva_d20:DriverLicenseWithdrawalDueProcessStatusCodeSimpleType","","",""
"aamva_d20","DriverLicenseWithdrawalEligibilityCodeSimpleType","aamva_d20:DriverLicenseWithdrawalEligibilityCodeSimpleType","S","atomic",0,0,0,"","","","A data type for when a driver may be eligible to apply for reinstatement of driving privileges that have been withdrawn.","xs","token","xs:token","","",""
"aamva_d20","DriverLicenseWithdrawalEligibilityCodeType","aamva_d20:DriverLicenseWithdrawalEligibilityCodeType","CSC",,0,0,0,"","","","A data type for when a driver may be eligible to apply for reinstatement of driving privileges that have been withdrawn.","aamva_d20","DriverLicenseWithdrawalEligibilityCodeSimpleType","aamva_d20:DriverLicenseWithdrawalEligibilityCodeSimpleType","","",""
"aamva_d20","DriverLicenseWithdrawalExtentCodeSimpleType","aamva_d20:DriverLicenseWithdrawalExtentCodeSimpleType","S","atomic",0,0,0,"","","","A data type for extents of withdrawals.","xs","token","xs:token","","",""
"aamva_d20","DriverLicenseWithdrawalExtentCodeType","aamva_d20:DriverLicenseWithdrawalExtentCodeType","CSC",,0,0,0,"","","","A data type for extents of withdrawals.","aamva_d20","DriverLicenseWithdrawalExtentCodeSimpleType","aamva_d20:DriverLicenseWithdrawalExtentCodeSimpleType","","",""
"aamva_d20","DrivingEndorsementCodeSimpleType","aamva_d20:DrivingEndorsementCodeSimpleType","S","atomic",0,0,0,"","","","A data type for endorsements on a driver license which authorizes the operation of specified kinds of vehicles carrying specified loads.","xs","token","xs:token","","",""
"aamva_d20","DrivingEndorsementCodeType","aamva_d20:DrivingEndorsementCodeType","CSC","",0,0,0,"","","","A data type for endorsements on a driver license which authorizes the operation of specified kinds of vehicles carrying specified loads.","aamva_d20","DrivingEndorsementCodeSimpleType","aamva_d20:DrivingEndorsementCodeSimpleType","","",""
"aamva_d20","DrivingInsuranceStatusCodeSimpleType","aamva_d20:DrivingInsuranceStatusCodeSimpleType","S","atomic",0,0,0,"","","","A data type for the ways in which a driver of a vehicle may or may not be insured.","xs","token","xs:token","","",""
"aamva_d20","DrivingInsuranceStatusCodeType","aamva_d20:DrivingInsuranceStatusCodeType","CSC",,0,0,0,"","","","A data type for the ways in which a driver of a vehicle may or may not be insured.","aamva_d20","DrivingInsuranceStatusCodeSimpleType","aamva_d20:DrivingInsuranceStatusCodeSimpleType","","",""
"aamva_d20","DrivingOffenseCodeSimpleType","aamva_d20:DrivingOffenseCodeSimpleType","S","atomic",0,0,0,"","","","A data type for ACD codes for a driving offense.","xs","token","xs:token","","",""
"aamva_d20","DrivingOffenseCodeType","aamva_d20:DrivingOffenseCodeType","CSC",,0,0,0,"","","","A data type for ACD codes for a driving offense.","aamva_d20","DrivingOffenseCodeSimpleType","aamva_d20:DrivingOffenseCodeSimpleType","","",""
"aamva_d20","DrivingPermitRestrictionCodeSimpleType","aamva_d20:DrivingPermitRestrictionCodeSimpleType","S","atomic",0,0,0,"","","","A data type for categories of driving restrictions for permits.","xs","token","xs:token","","",""
"aamva_d20","DrivingPermitRestrictionCodeType","aamva_d20:DrivingPermitRestrictionCodeType","CSC","atomic",0,0,0,"","","","A data type for categories of driving restrictions for permits.","aamva_d20","DrivingPermitRestrictionCodeSimpleType","aamva_d20:DrivingPermitRestrictionCodeSimpleType","","",""
"aamva_d20","DrivingRestrictionCodeSimpleType","aamva_d20:DrivingRestrictionCodeSimpleType","S","atomic",0,0,0,"","","","A data type for categories of driving restrictions.","xs","token","xs:token","","",""
"aamva_d20","DrivingRestrictionCodeType","aamva_d20:DrivingRestrictionCodeType","CSC",,0,0,0,"","","","A data type for categories of driving restrictions.","aamva_d20","DrivingRestrictionCodeSimpleType","aamva_d20:DrivingRestrictionCodeSimpleType","","",""
"aamva_d20","DrivingStatusCodeSimpleType","aamva_d20:DrivingStatusCodeSimpleType","S","atomic",0,0,0,"","","","A data type for statuses of a drivers privilege type.","xs","token","xs:token","","",""
"aamva_d20","DrivingStatusCodeType","aamva_d20:DrivingStatusCodeType","CSC",,0,0,0,"","","","A data type for statuses of a drivers privilege type.","aamva_d20","DrivingStatusCodeSimpleType","aamva_d20:DrivingStatusCodeSimpleType","","",""
"aamva_d20","HazMatCodeSimpleType","aamva_d20:HazMatCodeSimpleType","S","atomic",0,0,0,"","","","A data type for whether a driver was operating a vehicle carrying hazardous materials.","xs","token","xs:token","","",""
"aamva_d20","HazMatCodeType","aamva_d20:HazMatCodeType","CSC",,0,0,0,"","","","A data type for whether a driver was operating a vehicle carrying hazardous materials.","aamva_d20","HazMatCodeSimpleType","aamva_d20:HazMatCodeSimpleType","","",""
"aamva_d20","InsuranceCoverageCategoryCodeSimpleType","aamva_d20:InsuranceCoverageCategoryCodeSimpleType","S","atomic",0,0,0,"","","","A data type for categories of coverage provided by an insurance policy.","xs","token","xs:token","","",""
"aamva_d20","InsuranceCoverageCategoryCodeType","aamva_d20:InsuranceCoverageCategoryCodeType","CSC",,0,0,0,"","","","A data type for categories of coverage provided by an insurance policy.","aamva_d20","InsuranceCoverageCategoryCodeSimpleType","aamva_d20:InsuranceCoverageCategoryCodeSimpleType","","",""
"aamva_d20","JurisdictionAuthorityCodeSimpleType","aamva_d20:JurisdictionAuthorityCodeSimpleType","S","atomic",0,0,0,"","","","A data type for an authority with jurisdiction over a particular area.","xs","token","xs:token","","",""
"aamva_d20","JurisdictionAuthorityCodeType","aamva_d20:JurisdictionAuthorityCodeType","CSC",,0,0,0,"","","","A data type for an authority with jurisdiction over a particular area.","aamva_d20","JurisdictionAuthorityCodeSimpleType","aamva_d20:JurisdictionAuthorityCodeSimpleType","","",""
"aamva_d20","LienReleaseReasonCodeSimpleType","aamva_d20:LienReleaseReasonCodeSimpleType","S","atomic",0,0,0,"","","","A data type for reasons a legal encumbrance may be removed from a property.","xs","token","xs:token","","",""
"aamva_d20","LienReleaseReasonCodeType","aamva_d20:LienReleaseReasonCodeType","CSC",,0,0,0,"","","","A data type for reasons a legal encumbrance may be removed from a property.","aamva_d20","LienReleaseReasonCodeSimpleType","aamva_d20:LienReleaseReasonCodeSimpleType","","",""
"aamva_d20","MedicalPractitionerSpecialtyCodeSimpleType","aamva_d20:MedicalPractitionerSpecialtyCodeSimpleType","S","atomic",0,0,0,"","","","A data type for a code indicating the specialty of the medical practitioner.","xs","token","xs:token","","",""
"aamva_d20","MedicalPractitionerSpecialtyCodeType","aamva_d20:MedicalPractitionerSpecialtyCodeType","CSC","atomic",0,0,0,"","","","A data type for a code indicating the specialty of the medical practitioner.","aamva_d20","MedicalPractitionerSpecialtyCodeSimpleType","aamva_d20:MedicalPractitionerSpecialtyCodeSimpleType","","",""
"aamva_d20","PassFailCodeSimpleType","aamva_d20:PassFailCodeSimpleType","S","atomic",0,0,0,"","","","A data type for whether something has passed or failed some sort of test.","xs","token","xs:token","","",""
"aamva_d20","PassFailCodeType","aamva_d20:PassFailCodeType","CSC",,0,0,0,"","","","A data type for whether something has passed or failed some sort of test.","aamva_d20","PassFailCodeSimpleType","aamva_d20:PassFailCodeSimpleType","","",""
"aamva_d20","PersonOrganDonorCodeSimpleType","aamva_d20:PersonOrganDonorCodeSimpleType","S","atomic",0,0,0,"","","","A data type for organs a person could be willing to donate upon death.","xs","token","xs:token","","",""
"aamva_d20","PersonOrganDonorCodeType","aamva_d20:PersonOrganDonorCodeType","CSC",,0,0,0,"","","","A data type for organs a person could be willing to donate upon death.","aamva_d20","PersonOrganDonorCodeSimpleType","aamva_d20:PersonOrganDonorCodeSimpleType","","",""
"aamva_d20","RegistrationPlateColorCodeSimpleType","aamva_d20:RegistrationPlateColorCodeSimpleType","S","atomic",0,0,0,"","","","A data type for colors of a vehicle registration plate or license plate.","xs","token","xs:token","","",""
"aamva_d20","RegistrationPlateColorCodeType","aamva_d20:RegistrationPlateColorCodeType","CSC",,0,0,0,"","","","A data type for colors of a vehicle registration plate or license plate.","aamva_d20","RegistrationPlateColorCodeSimpleType","aamva_d20:RegistrationPlateColorCodeSimpleType","","",""
"aamva_d20","RegistrationStatusCodeSimpleType","aamva_d20:RegistrationStatusCodeSimpleType","S","atomic",0,0,0,"","","","A data type for activities recorded for a registration.","xs","token","xs:token","","",""
"aamva_d20","RegistrationStatusCodeType","aamva_d20:RegistrationStatusCodeType","CSC",,0,0,0,"","","","A data type for activities recorded for a registration.","aamva_d20","RegistrationStatusCodeSimpleType","aamva_d20:RegistrationStatusCodeSimpleType","","",""
"aamva_d20","RegistrationStatusDetailCodeSimpleType","aamva_d20:RegistrationStatusDetailCodeSimpleType","S","atomic",0,0,0,"","","","A data type for additional information regarding a registration status.","xs","token","xs:token","","",""
"aamva_d20","RegistrationStatusDetailCodeType","aamva_d20:RegistrationStatusDetailCodeType","CSC",,0,0,0,"","","","A data type for additional information regarding a registration status.","aamva_d20","RegistrationStatusDetailCodeSimpleType","aamva_d20:RegistrationStatusDetailCodeSimpleType","","",""
"aamva_d20","SmogCertificateCodeSimpleType","aamva_d20:SmogCertificateCodeSimpleType","S","atomic",0,0,0,"","","","A data type for whether or not a vehicle has a current smog certificate.","xs","token","xs:token","","",""
"aamva_d20","SmogCertificateCodeType","aamva_d20:SmogCertificateCodeType","CSC",,0,0,0,"","","","A data type for whether or not a vehicle has a current smog certificate.","aamva_d20","SmogCertificateCodeSimpleType","aamva_d20:SmogCertificateCodeSimpleType","","",""
"aamva_d20","TitleStatusCodeSimpleType","aamva_d20:TitleStatusCodeSimpleType","S","atomic",0,0,0,"","","","A data type for statuses for a title.","xs","token","xs:token","","",""
"aamva_d20","TitleStatusCodeType","aamva_d20:TitleStatusCodeType","CSC",,0,0,0,"","","","A data type for statuses for a title.","aamva_d20","TitleStatusCodeSimpleType","aamva_d20:TitleStatusCodeSimpleType","","",""
"aamva_d20","VehicleFuelCategoryCodeSimpleType","aamva_d20:VehicleFuelCategoryCodeSimpleType","S","atomic",0,0,0,"","","","A data type for kinds of fuel or motive power used to propel a vehicle.","xs","token","xs:token","","",""
"aamva_d20","VehicleFuelCategoryCodeType","aamva_d20:VehicleFuelCategoryCodeType","CSC",,0,0,0,"","","","A data type for kinds of fuel or motive power used to propel a vehicle.","aamva_d20","VehicleFuelCategoryCodeSimpleType","aamva_d20:VehicleFuelCategoryCodeSimpleType","","",""
"aamva_d20","VehicleOdometerReadingUnitCodeSimpleType","aamva_d20:VehicleOdometerReadingUnitCodeSimpleType","S","atomic",0,0,0,"","","","A data type for the units of measurement associated with an odometer reading.","xs","token","xs:token","","",""
"aamva_d20","VehicleOdometerReadingUnitCodeType","aamva_d20:VehicleOdometerReadingUnitCodeType","CSC",,0,0,0,"","","","A data type for the units of measurement associated with an odometer reading.","aamva_d20","VehicleOdometerReadingUnitCodeSimpleType","aamva_d20:VehicleOdometerReadingUnitCodeSimpleType","","",""
"aamva_d20","VehicleTitleDocumentCategoryCodeSimpleType","aamva_d20:VehicleTitleDocumentCategoryCodeSimpleType","S","atomic",0,0,0,"","","","A data type for kinds of an individual title document.","xs","token","xs:token","","",""
"aamva_d20","VehicleTitleDocumentCategoryCodeType","aamva_d20:VehicleTitleDocumentCategoryCodeType","CSC",,0,0,0,"","","","A data type for kinds of an individual title document.","aamva_d20","VehicleTitleDocumentCategoryCodeSimpleType","aamva_d20:VehicleTitleDocumentCategoryCodeSimpleType","","",""
"aamva_d20","VehicleTransmissionCategoryCodeSimpleType","aamva_d20:VehicleTransmissionCategoryCodeSimpleType","S","atomic",0,0,0,"","","","A data type for kinds of transmission units in a vehicle.","xs","token","xs:token","","",""
"aamva_d20","VehicleTransmissionCategoryCodeType","aamva_d20:VehicleTransmissionCategoryCodeType","CSC",,0,0,0,"","","","A data type for kinds of transmission units in a vehicle.","aamva_d20","VehicleTransmissionCategoryCodeSimpleType","aamva_d20:VehicleTransmissionCategoryCodeSimpleType","","",""
"aamva_d20","VehicleUseCodeSimpleType","aamva_d20:VehicleUseCodeSimpleType","S","atomic",0,0,0,"","","","A data type for ways in which a vehicle is used.","xs","token","xs:token","","",""
"aamva_d20","VehicleUseCodeType","aamva_d20:VehicleUseCodeType","CSC",,0,0,0,"","","","A data type for ways in which a vehicle is used.","aamva_d20","VehicleUseCodeSimpleType","aamva_d20:VehicleUseCodeSimpleType","","",""
"ag","AcreageSubmissionFileType","ag:AcreageSubmissionFileType","CCC","",0,0,0,"","","","A data type containing the entire set of the crops planted on a farm, itemized down to the acreage of individual fields and subfields and the individual producer stakeholders.
  This file set is used to transmit an acreage report from an FSA County Office, an Approved Insurance Provider (AIP), or a producer.","","","","","",""
"ag","AgricultureProductionPlanType","ag:AgricultureProductionPlanType","CCC","",0,0,0,"","","","A data type that contains agriculture production plan related information including location, product, acreage, planting, practice and data modifications details.","","","","","",""
"ag","CustomerInfoType","ag:CustomerInfoType","CCC","",0,0,0,"","","","A data type containing customer information including identification and name.","","","","","",""
"ag","FarmCropAcreageType","ag:FarmCropAcreageType","CCC","",0,0,0,"","","","A data type that contains farm related information including FSA state and county, farm number, and one to many tracts.","","","","","",""
"ag","FieldCropAcreageType","ag:FieldCropAcreageType","CCC","",0,0,0,"","","","A data type that contains field related information including CLU related information, field number, and one to many agriculture production plans.","","","","","",""
"ag","GeospatialSourceInfoType","ag:GeospatialSourceInfoType","CCC","",0,0,0,"","","","A data type that contains the sourcing of geospatial information that include the method of sourcing, modifications made, and how they were processed.","","","","","",""
"ag","ProducerShareType","ag:ProducerShareType","CCC","",0,0,0,"","","","A data type that contains producer's share in the benefits coming from a crop, expressed as a percentage.","","","","","",""
"ag","TractCropAcreageType","ag:TractCropAcreageType","CCC","",0,0,0,"","","","A data type that contains tract related information including tract number, and one to many fields.","","","","","",""
"ag_codes","CLUIDSimpleType","ag_codes:CLUIDSimpleType","S","atomic",0,0,0,"","","","A data type for system-generated internal identifier of a common land unit (CLU). This identifier is for internal access use only.
  A CLU is the smallest unit of land that has a permanent, contiguous boundary, common land cover and land management, a common owner, and a common producer association.
  A CLU is closely related to FSA's definition of 'fields', according to Handbook 2-CP. A CLU is also closely related to land units such as parcels, farmsteads, and lots that are used by NRCS, RMA and RD.
  The authoritative source of CLU Identifier is Farm Records. CLU Identifier can remain constant even if the precise geospatial shape of the CLU is slightly altered.","xs","string","xs:string","","",""
"ag_codes","CLUIDType","ag_codes:CLUIDType","CSC","",0,0,0,"","","","A data type for system-generated internal identifier of a common land unit (CLU). This identifier is for internal access use only.","ag_codes","CLUIDSimpleType","ag_codes:CLUIDSimpleType","","",""
"ag_codes","CoordinateReferenceSystemCodeSimpleType","ag_codes:CoordinateReferenceSystemCodeSimpleType","S","atomic",0,0,0,"","","","A data type containing the geospatial projection standard used for calculating acreage.","xs","token","xs:token","","",""
"ag_codes","CoordinateReferenceSystemCodeType","ag_codes:CoordinateReferenceSystemCodeType","CSC","atomic",0,0,0,"","","","A data type for coordinate reference system codes.","ag_codes","CoordinateReferenceSystemCodeSimpleType","ag_codes:CoordinateReferenceSystemCodeSimpleType","","",""
"ag_codes","CoreProductCategorySimpleType","ag_codes:CoreProductCategorySimpleType","S","atomic",0,0,0,"","","","A data type containing subclassification of agricultural products in addition to the main classification provided by the Core Product Code. Each product classified by a Core Product Code is also assigned a Core Product Type Code providing greater clarification of the crop/commodity, tree, livestock ,etc. Codes are maintained by the Pilot CVT (Crop Validation Table).","xs","token","xs:token","","",""
"ag_codes","CoreProductCategoryType","ag_codes:CoreProductCategoryType","CSC","",0,0,0,"","","","A data type for core product subclassification code.","ag_codes","CoreProductCategorySimpleType","ag_codes:CoreProductCategorySimpleType","","",""
"ag_codes","CoreProductSimpleType","ag_codes:CoreProductSimpleType","S","atomic",0,0,0,"","","","A data type containing classification codes of core agricultural products defined by the Pilot CVT (Crop Validation Table). Products are classified into individual crop and commodity types, tree types, and types of livestock.","xs","token","xs:token","","",""
"ag_codes","CoreProductType","ag_codes:CoreProductType","CSC","",0,0,0,"","","","A data type containing classification codes.","ag_codes","CoreProductSimpleType","ag_codes:CoreProductSimpleType","","",""
"ag_codes","CroppingPracticeCodeSimpleType","ag_codes:CroppingPracticeCodeSimpleType","S","atomic",0,0,0,"","","","A data type for code identifying the cropping practice applicable for a reported crop/commodity on a field/subfield.","xs","token","xs:token","","",""
"ag_codes","CroppingPracticeCodeType","ag_codes:CroppingPracticeCodeType","CSC","atomic",0,0,0,"","","","A data type for code to represent cropping practice applicable for a reported crop/commodity.","ag_codes","CroppingPracticeCodeSimpleType","ag_codes:CroppingPracticeCodeSimpleType","","",""
"ag_codes","CropYearSimpleType","ag_codes:CropYearSimpleType","S","atomic",0,0,0,"","","","A data type to indicate a period of time (in year) within which the crop is normally grown and designated by the calendar year in which the crop is normally harvested.
  For crops:
  - Harvested over 2 calendar years, the crop year is the calendar year in which the majority of the crop would have been harvested.
  - Grown over more than 2 calendar years, each year in the growing period will be considered as a separate crop year designated by the calendar year in which the crop sustained a loss.
  RMA's regulations define Crop Year as the period within which the insured crop is normally grown, regardless of whether or not it is actually grown, and designated by the calendar year in which the insured crop is normally harvested, unless otherwise specified in the Crop Provisions.","xs","integer","xs:integer","","",""
"ag_codes","CropYearType","ag_codes:CropYearType","CSC","atomic",0,0,0,"","","","A data type to indicate a period of time (in year) within which the crop is normally grown and designated by the calendar year in which the crop is normally harvested.","ag_codes","CropYearSimpleType","ag_codes:CropYearSimpleType","","",""
"ag_codes","FarmNumberIDSimpleType","ag_codes:FarmNumberIDSimpleType","S","atomic",0,0,0,"","","","A data type for identification number assigned to all land under control of a particular operator within a particular county.
  Each County assigns Farm Numbers independently. As a result, farms in different counties might be assigned the same Farm Number; i.e, a Farm Number might be unique only within a particular county. Thus, to uniquely identify a farm, the State FSA Code and County FSA Code must be specified in combination with the Farm Number.","xs","integer","xs:integer","","",""
"ag_codes","FarmNumberIDType","ag_codes:FarmNumberIDType","CSC","atomic",0,0,0,"","","","A data type for identification number assigned to all land under control of a particular operator within a particular county.","ag_codes","FarmNumberIDSimpleType","ag_codes:FarmNumberIDSimpleType","","",""
"ag_codes","FieldNumberIDSimpleType","ag_codes:FieldNumberIDSimpleType","S","atomic",0,0,0,"","","","A data type for identification number assigned to a field of land that is part of a farm tract.
  Field numbers are assigned by an FSA county office, and are unique within that office''s farms. A Field Number is used in conjunction with Tract Number, State FSA Code and County FSA Code for uniqueness.
  Field number and Tract Number are not necessarily unique based upon State ANSI Code and County ANSI Code in instances where the ANSI codes are not the same as the FSA codes.","xs","integer","xs:integer","","",""
"ag_codes","FieldNumberIDType","ag_codes:FieldNumberIDType","CSC","atomic",0,0,0,"","","","A data type for identification number assigned to a field of land that is part of a farm tract.","ag_codes","FieldNumberIDSimpleType","ag_codes:FieldNumberIDSimpleType","","",""
